,name,company,year,selling_price,km_driven,fuel,seller_type,transmission,owner
1046,Ford Ecosport 1.5,Ford,2013,500000,60000,Diesel,Individual,Manual,Second Owner
1047,Skoda Laura Elegance,Skoda,2010,400000,130000,Diesel,Individual,Automatic,Second Owner
1048,Hyundai EON 1.0,Hyundai,2017,280000,28838,Petrol,Individual,Manual,First Owner
1049,Tata Indica GLS,Tata,2008,80000,200000,Petrol,Individual,Manual,First Owner
1050,Tata Indica DLS,Tata,2006,55000,100000,Diesel,Individual,Manual,First Owner
1051,Maruti Alto 800,Maruti,2014,250000,50000,Petrol,Individual,Manual,First Owner
1052,Mahindra Bolero SLX,Mahindra,2010,250000,190000,Diesel,Individual,Manual,Fourth & Above Owner
1053,Mahindra Jeep MM,Mahindra,2007,95000,100000,Diesel,Individual,Manual,Second Owner
1054,Mahindra Scorpio 1.99,Mahindra,2014,725000,135000,Diesel,Individual,Manual,Second Owner
1055,Mahindra Bolero Power,Mahindra,2015,320000,50000,Diesel,Individual,Manual,Third Owner
1056,Skoda Octavia Elegance,Skoda,2014,1200000,135000,Diesel,Individual,Automatic,Third Owner
1057,Chevrolet Beat Diesel,Chevrolet,2012,160000,50000,Diesel,Individual,Manual,First Owner
1058,Honda Jazz 1.5,Honda,2018,790000,19571,Diesel,Dealer,Manual,First Owner
1059,Honda City i-VTEC,Honda,2018,1200000,29600,Petrol,Dealer,Manual,First Owner
1060,Maruti Swift LXI,Maruti,2011,175000,70000,Petrol,Individual,Manual,First Owner
1061,Maruti Vitara Brezza,Maruti,2018,950000,15000,Diesel,Individual,Automatic,First Owner
1062,Maruti Celerio LXI,Maruti,2019,340000,50000,Petrol,Individual,Manual,First Owner
1063,Renault Captur 1.5,Renault,2017,825000,13500,Diesel,Individual,Manual,First Owner
1064,Audi A4 30,Audi,2018,3100000,22000,Petrol,Individual,Automatic,First Owner
1065,Honda Amaze VX,Honda,2018,780000,25000,Diesel,Dealer,Manual,First Owner
1066,Toyota Corolla Altis,Toyota,2010,350000,80000,Petrol,Individual,Automatic,Third Owner
1067,Honda Amaze VX,Honda,2018,690000,39000,Petrol,Dealer,Manual,First Owner
1068,Maruti Alto 800,Maruti,2016,245000,60000,Petrol,Individual,Manual,First Owner
1069,Honda Amaze VX,Honda,2018,790000,49000,Diesel,Dealer,Manual,First Owner
1070,Honda Amaze VX,Honda,2018,680000,48600,Petrol,Dealer,Manual,First Owner
1071,Hyundai Grand i10,Hyundai,2017,540000,20000,Petrol,Individual,Manual,Second Owner
1072,Mahindra KUV 100,Mahindra,2016,425000,25000,Petrol,Individual,Manual,First Owner
1073,Maruti Zen Estilo,Maruti,2008,140000,120000,Petrol,Individual,Manual,First Owner
1074,Maruti Ertiga ZDI,Maruti,2019,1100000,30000,Diesel,Individual,Manual,First Owner
1075,Renault Lodgy 85PS,Renault,2015,715000,35000,Diesel,Individual,Manual,First Owner
1076,Audi A4 3.0,Audi,2013,1580000,86000,Diesel,Dealer,Automatic,First Owner
1077,Audi Q3 2.0,Audi,2015,1750000,127643,Diesel,Dealer,Automatic,First Owner
1078,Tata Zest Revotron,Tata,2018,400000,54000,Petrol,Dealer,Manual,Second Owner
1079,Audi A6 2.0,Audi,2014,1750000,102354,Diesel,Dealer,Automatic,First Owner
1080,Audi Q5 2.0,Audi,2014,1850000,62237,Petrol,Dealer,Automatic,First Owner
1081,Hyundai Santro Xing,Hyundai,2005,114999,90000,Petrol,Dealer,Manual,Second Owner
1082,Ford EcoSport 1.5,Ford,2018,950000,21394,Diesel,Dealer,Manual,First Owner
1083,Datsun GO T,Datsun,2015,310000,32686,Petrol,Dealer,Manual,First Owner
1084,Mahindra Jeep CJ,Mahindra,2006,575000,1001,Diesel,Dealer,Manual,First Owner
1085,Renault Pulse RxZ,Renault,2017,490000,22000,Diesel,Dealer,Manual,First Owner
1086,Hyundai Grand i10,Hyundai,2017,480000,53261,Petrol,Dealer,Manual,First Owner
1087,Land Rover Discovery,Land,2016,3500000,53000,Diesel,Dealer,Automatic,First Owner
1088,Renault KWID 1.0,Renault,2018,370000,10000,Petrol,Dealer,Manual,First Owner
1089,Maruti Baleno Alpha,Maruti,2017,835000,14000,Diesel,Dealer,Manual,First Owner
1090,Volkswagen Polo 2015-2019,Volkswagen,2017,650000,44000,Petrol,Dealer,Manual,First Owner
1091,Toyota Etios VD,Toyota,2014,670000,39895,Diesel,Dealer,Manual,First Owner
1092,Chevrolet Cruze LTZ,Chevrolet,2017,950000,73000,Diesel,Dealer,Automatic,First Owner
1093,Honda City i-VTEC,Honda,2014,690000,17000,Petrol,Dealer,Manual,First Owner
1094,Volkswagen Polo 2015-2019,Volkswagen,2017,670000,18591,Petrol,Dealer,Manual,First Owner
1095,Tata Nexon 1.5,Tata,2017,925000,26766,Diesel,Dealer,Manual,First Owner
1096,Hyundai EON Magna,Hyundai,2015,250000,30000,Petrol,Individual,Manual,First Owner
1097,Tata Sumo Gold,Tata,2016,509999,42000,Diesel,Individual,Manual,First Owner
1098,Honda City i,Honda,2014,520000,110000,Diesel,Individual,Manual,First Owner
1099,Tata Indica DLE,Tata,2005,100000,100000,Diesel,Individual,Manual,First Owner
1100,Tata Indica DLS,Tata,2006,85000,300000,Diesel,Individual,Manual,Second Owner
1101,Tata Indigo LX,Tata,2009,130000,110000,Diesel,Individual,Manual,Third Owner
1102,Ford EcoSport 1.5,Ford,2018,950000,27620,Diesel,Dealer,Manual,First Owner
1103,Ford Figo Aspire,Ford,2015,450000,70000,Petrol,Individual,Manual,First Owner
1104,Honda City S,Honda,2012,320000,50000,Petrol,Individual,Manual,Second Owner
1105,Maruti Swift Dzire,Maruti,2015,480000,50000,Diesel,Individual,Manual,First Owner
1106,Mercedes-Benz New C-Class,Mercedes-Benz,2014,2490000,46000,Diesel,Individual,Automatic,First Owner
1107,Toyota Innova 2.5,Toyota,2012,790000,82000,Diesel,Individual,Manual,First Owner
1108,Maruti Omni MPI,Maruti,2016,120000,120000,Petrol,Individual,Manual,First Owner
1109,Maruti Alto LXi,Maruti,2006,75000,80000,Petrol,Individual,Manual,Third Owner
1110,Tata Indica GLS,Tata,2010,99000,70000,Petrol,Individual,Manual,First Owner
1111,Maruti S-Cross Zeta,Maruti,2018,1015000,20000,Diesel,Individual,Manual,First Owner
1112,Mahindra Xylo D4,Mahindra,2013,250000,200000,Diesel,Individual,Manual,Second Owner
1113,Toyota Innova Crysta,Toyota,2011,520000,120000,Diesel,Individual,Manual,First Owner
1114,Hyundai Verna CRDi,Hyundai,2018,1100000,30000,Diesel,Individual,Automatic,First Owner
1115,Toyota Innova 2.5,Toyota,2005,200000,223000,Diesel,Individual,Manual,First Owner
1116,Maruti Swift Dzire,Maruti,2016,525000,60000,Diesel,Individual,Manual,First Owner
1117,Hyundai i20 Asta,Hyundai,2016,500000,40000,Petrol,Individual,Manual,First Owner
1118,Mahindra Scorpio S2,Mahindra,2016,675000,161327,Diesel,Individual,Manual,First Owner
1119,Hyundai i10 Magna,Hyundai,2009,150000,60000,Petrol,Individual,Manual,Third Owner
1120,Mahindra Bolero DI,Mahindra,2007,250000,50000,Diesel,Individual,Manual,First Owner
1121,Hyundai Grand i10,Hyundai,2018,450000,6000,Petrol,Individual,Manual,First Owner
1122,Hyundai Santro Xing,Hyundai,2009,150000,68000,Petrol,Individual,Manual,Second Owner
1123,Chevrolet Beat Diesel,Chevrolet,2012,200000,85000,Diesel,Individual,Manual,First Owner
1124,Mahindra Scorpio VLS,Mahindra,2011,525000,70000,Diesel,Individual,Automatic,First Owner
1125,Maruti Esteem VX,Maruti,1999,60000,35000,Petrol,Individual,Manual,Second Owner
1126,Maruti Swift Vdi,Maruti,2010,180000,100000,Diesel,Individual,Manual,Second Owner
1127,Honda Amaze S,Honda,2015,475000,110000,Diesel,Individual,Manual,First Owner
1128,Mahindra Scorpio VLS,Mahindra,2010,380000,195000,Diesel,Individual,Automatic,Second Owner
1129,Maruti Alto 800,Maruti,2015,285000,46000,Petrol,Individual,Manual,Second Owner
1130,Maruti Alto LXi,Maruti,2008,91200,60000,Petrol,Individual,Manual,Second Owner
1131,Datsun RediGO T,Datsun,2017,250000,46000,Petrol,Individual,Manual,First Owner
1132,Hyundai Grand i10,Hyundai,2015,400000,42000,Diesel,Individual,Manual,First Owner
1133,Hyundai Santro Xing,Hyundai,2006,160000,90000,Petrol,Individual,Automatic,Second Owner
1134,Skoda Yeti Ambition,Skoda,2012,650000,85000,Diesel,Individual,Manual,Second Owner
1135,Hyundai Verna 1.6,Hyundai,2012,409999,120000,Diesel,Individual,Manual,Third Owner
1136,Ford Ecosport 1.5,Ford,2013,425000,72000,Diesel,Individual,Manual,First Owner
1137,Maruti Wagon R,Maruti,2013,250000,71000,CNG,Individual,Manual,Second Owner
1138,Maruti Swift Dzire,Maruti,2009,200000,110000,Petrol,Individual,Manual,Fourth & Above Owner
1139,Maruti Wagon R,Maruti,2013,250000,71000,CNG,Individual,Manual,Second Owner
1140,Volkswagen Polo Diesel,Volkswagen,2010,130000,144000,Diesel,Individual,Manual,Fourth & Above Owner
1141,Maruti Eeco 5,Maruti,2017,260000,30000,Petrol,Dealer,Manual,First Owner
1142,Hyundai Verna SX,Hyundai,2007,155000,65000,Petrol,Dealer,Manual,First Owner
1143,Honda Jazz 1.5,Honda,2015,450000,38000,Diesel,Individual,Manual,First Owner
1144,Maruti SX4 Celebration,Maruti,2012,220000,90000,Petrol,Individual,Manual,Second Owner
1145,Hyundai i20 Active,Hyundai,2018,650000,37000,Diesel,Dealer,Manual,First Owner
1146,Maruti Alto 800,Maruti,2018,285000,30000,Petrol,Dealer,Manual,First Owner
1147,Honda Amaze V,Honda,2018,725000,26000,Petrol,Dealer,Automatic,First Owner
1148,Maruti Ciaz ZXi,Maruti,2016,625000,30000,Petrol,Dealer,Manual,First Owner
1149,Hyundai i20 Active,Hyundai,2016,550000,23000,Petrol,Dealer,Manual,First Owner
1150,Hyundai i10 Magna,Hyundai,2012,240000,40000,Petrol,Dealer,Manual,First Owner
1151,Nissan Terrano XL,Nissan,2014,600000,27000,Diesel,Dealer,Manual,First Owner
1152,Tata New Safari,Tata,2012,350000,65000,Diesel,Dealer,Manual,First Owner
1153,Hyundai EON Magna,Hyundai,2015,245000,32000,Petrol,Dealer,Manual,First Owner
1154,Mahindra Bolero B6,Mahindra,2016,600000,56000,Diesel,Dealer,Manual,First Owner
1155,BMW X1 sDrive,BMW,2017,2400000,30000,Diesel,Individual,Automatic,First Owner
1156,Mahindra Scorpio SLE,Mahindra,2014,620000,80000,Diesel,Dealer,Manual,First Owner
1157,Maruti Swift Dzire,Maruti,2014,395000,52000,Petrol,Dealer,Manual,Second Owner
1158,Maruti Ertiga ZXI,Maruti,2014,635000,13250,Petrol,Dealer,Manual,First Owner
1159,Maruti Alto LX,Maruti,2011,180000,36000,Petrol,Dealer,Manual,First Owner
1160,Maruti Swift ZDI,Maruti,2015,484999,73000,Diesel,Dealer,Manual,Second Owner
1161,Maruti Alto LX,Maruti,2004,110000,60000,Petrol,Individual,Manual,First Owner
1162,Maruti Wagon R,Maruti,2006,150000,60000,Petrol,Individual,Manual,Second Owner
1163,Chevrolet Tavera Neo,Chevrolet,2012,400000,110000,Diesel,Individual,Manual,First Owner
1164,Tata Indica Vista,Tata,2012,200000,70000,Diesel,Individual,Manual,Second Owner
1165,Renault Duster 85PS,Renault,2013,302000,60000,Diesel,Individual,Manual,Second Owner
1166,Maruti Swift Dzire,Maruti,2011,215000,90000,Diesel,Individual,Manual,Fourth & Above Owner
1167,Maruti Wagon R,Maruti,2004,155000,80000,Petrol,Individual,Manual,Second Owner
1168,Toyota Innova 2.5,Toyota,2014,1000000,101000,Diesel,Individual,Manual,Second Owner
1169,Mahindra Bolero Power,Mahindra,2018,550000,44000,Diesel,Individual,Manual,First Owner
1170,Maruti Swift 1.3,Maruti,2006,200000,45000,Petrol,Individual,Manual,First Owner
1171,Mahindra Scorpio S2,Mahindra,2017,750000,120000,Diesel,Individual,Manual,First Owner
1172,Maruti Zen LXI,Maruti,2005,90000,90000,Petrol,Individual,Manual,Second Owner
1173,Maruti Wagon R,Maruti,2007,80000,120000,Petrol,Individual,Manual,Second Owner
1174,Hyundai EON D,Hyundai,2013,229999,13500,Petrol,Individual,Manual,First Owner
1175,Renault KWID 1.0,Renault,2017,350000,10000,Petrol,Individual,Manual,First Owner
1176,Hyundai Grand i10,Hyundai,2015,325000,25000,Petrol,Individual,Manual,Third Owner
1177,Tata Tigor 1.2,Tata,2018,450000,8500,Petrol,Individual,Manual,First Owner
1178,Maruti SX4 Celebration,Maruti,2012,250000,120000,Diesel,Individual,Manual,First Owner
1179,Volkswagen Polo Diesel,Volkswagen,2012,225000,120000,Diesel,Individual,Manual,First Owner
1180,Maruti Alto LXi,Maruti,2009,150000,90246,Petrol,Individual,Manual,Third Owner
1181,Maruti Alto LX,Maruti,2008,110000,90000,Petrol,Individual,Manual,Second Owner
1182,Maruti Alto LXi,Maruti,2010,150000,40000,Petrol,Individual,Manual,Second Owner
1183,Maruti Gypsy King,Maruti,2000,165000,60000,Petrol,Individual,Manual,Fourth & Above Owner
1184,Renault Duster 85PS,Renault,2017,610000,32000,Diesel,Individual,Manual,Second Owner
1185,Tata Manza Club,Tata,2013,170000,60400,Diesel,Individual,Manual,First Owner
1186,Hyundai Verna CRDi,Hyundai,2008,150000,70950,Diesel,Individual,Manual,Second Owner
1187,Hyundai i20 Asta,Hyundai,2013,300000,90000,Diesel,Individual,Manual,First Owner
1188,Hyundai Xcent 1.1,Hyundai,2015,375000,72000,Diesel,Individual,Manual,First Owner
1189,Maruti Swift VDI,Maruti,2013,390000,90000,Diesel,Individual,Manual,First Owner
1190,Hyundai i20 Active,Hyundai,2017,600000,10000,Petrol,Individual,Manual,First Owner
1191,Maruti Alto 800,Maruti,2014,204999,25000,Petrol,Individual,Manual,Second Owner
1192,Hyundai Verna CRDi,Hyundai,2009,270000,80000,Diesel,Individual,Manual,Second Owner
1193,Hyundai Grand i10,Hyundai,2017,375000,10000,Petrol,Individual,Manual,First Owner
1194,Maruti Baleno Zeta,Maruti,2020,700000,1100,Petrol,Individual,Manual,First Owner
1195,Maruti Swift VXI,Maruti,2017,455000,40000,Petrol,Individual,Manual,First Owner
1196,Hyundai i10 Sportz,Hyundai,2017,375000,10000,Petrol,Individual,Manual,First Owner
1197,Hyundai Grand i10,Hyundai,2014,341000,31491,Petrol,Individual,Manual,First Owner
1198,Maruti Swift Dzire,Maruti,2014,200000,107143,Diesel,Individual,Manual,Second Owner
1199,Maruti Ignis 1.2,Maruti,2017,450000,15000,Petrol,Individual,Automatic,First Owner
1200,Hyundai Santro Xing,Hyundai,2012,170000,50000,Petrol,Individual,Manual,Second Owner
1201,Toyota Innova Crysta,Toyota,2017,1900000,100000,Diesel,Individual,Manual,First Owner
1202,Mahindra Bolero Power,Mahindra,2016,500000,60000,Diesel,Individual,Manual,First Owner
1203,Maruti Vitara Brezza,Maruti,2016,819999,85000,Diesel,Individual,Manual,First Owner
1204,Maruti Swift 1.2,Maruti,2014,351000,40000,Petrol,Individual,Manual,Second Owner
1205,Hyundai i10 Magna,Hyundai,2011,195000,80000,Petrol,Individual,Manual,Second Owner
1206,Maruti Swift Dzire,Maruti,2008,250000,82000,Diesel,Individual,Manual,Second Owner
1207,Maruti Zen Estilo,Maruti,2008,120000,70000,Petrol,Individual,Manual,Second Owner
1208,Maruti A-Star Vxi,Maruti,2009,180000,70000,Petrol,Individual,Manual,Third Owner
1209,Mahindra KUV 100,Mahindra,2016,430000,20000,Diesel,Individual,Manual,First Owner
1210,Tata Nano Cx,Tata,2012,75000,35000,Petrol,Individual,Manual,Second Owner
1211,Mahindra Xylo D4,Mahindra,2017,750000,80000,Diesel,Individual,Manual,First Owner
1212,Tata Nano Lx,Tata,2011,60000,40000,Petrol,Individual,Manual,First Owner
1213,Toyota Innova 2.5,Toyota,2015,1500000,46412,Diesel,Individual,Manual,First Owner
1214,Mahindra Bolero SLX,Mahindra,2011,390000,150000,Diesel,Individual,Manual,Fourth & Above Owner
1215,Mahindra TUV 300,Mahindra,2016,630000,50000,Diesel,Individual,Manual,First Owner
1216,Tata Safari Storme,Tata,2018,1085000,15000,Diesel,Individual,Manual,First Owner
1217,Hyundai i10 Magna,Hyundai,2012,190000,60000,Petrol,Individual,Manual,Second Owner
1218,Maruti Baleno Delta,Maruti,2018,550000,25000,Petrol,Individual,Automatic,First Owner
1219,Maruti Alto 800,Maruti,2012,200000,90000,Petrol,Individual,Manual,Third Owner
1220,Chevrolet Spark 1.0,Chevrolet,2011,165000,60000,Petrol,Individual,Manual,First Owner
1221,Ford Figo Diesel,Ford,2013,260000,65000,Diesel,Individual,Manual,First Owner
1222,Maruti Alto LX,Maruti,2011,151000,40000,Petrol,Individual,Manual,First Owner
1223,Maruti Vitara Brezza,Maruti,2018,780000,50000,Diesel,Individual,Manual,First Owner
1224,Tata Indica Vista,Tata,2012,175000,80000,Diesel,Individual,Manual,Third Owner
1225,Tata Indica Vista,Tata,2010,170000,107500,Diesel,Dealer,Manual,First Owner
1226,Tata Indica Vista,Tata,2013,210000,135000,Diesel,Dealer,Manual,Second Owner
1227,Maruti Alto LXi,Maruti,2007,90000,43826,Petrol,Dealer,Manual,Second Owner
1228,Hyundai i20 Active,Hyundai,2016,535000,55838,Petrol,Dealer,Manual,First Owner
1229,Maruti Swift VDI,Maruti,2007,195000,112880,Diesel,Dealer,Manual,First Owner
1230,Tata Indica Vista,Tata,2011,140000,90000,Diesel,Individual,Manual,Third Owner
1231,Nissan Sunny XL,Nissan,2012,350000,40000,Petrol,Individual,Manual,First Owner
1232,Hyundai Verna 1.6,Hyundai,2013,425000,66000,Petrol,Individual,Manual,First Owner
1233,Renault KWID 1.0,Renault,2017,300000,30300,Petrol,Individual,Manual,First Owner
1234,Volkswagen Vento Diesel,Volkswagen,2013,340000,85000,Diesel,Individual,Manual,Second Owner
1235,Maruti Swift Dzire,Maruti,2009,250000,80659,Petrol,Dealer,Manual,First Owner
1236,Chevrolet Aveo 1.4,Chevrolet,2008,170000,81324,Petrol,Dealer,Manual,First Owner
1237,Honda Amaze S,Honda,2013,315000,127884,Diesel,Dealer,Manual,First Owner
1238,Chevrolet Beat PS,Chevrolet,2015,200000,50000,Petrol,Individual,Manual,First Owner
1239,Chevrolet Beat PS,Chevrolet,2016,300000,25000,Petrol,Individual,Manual,First Owner
1240,Honda Amaze S,Honda,2015,300000,66755,Diesel,Dealer,Manual,First Owner
1241,Honda City E,Honda,2013,380000,123084,Petrol,Dealer,Manual,First Owner
1242,Maruti Swift VXI,Maruti,2009,250000,806599,Petrol,Dealer,Manual,First Owner
1243,Honda Amaze S,Honda,2013,310000,95851,Diesel,Dealer,Manual,First Owner
1244,Maruti Wagon R,Maruti,2010,260000,50000,Petrol,Individual,Manual,First Owner
1245,Maruti Omni BSIII,Maruti,2008,150000,50000,Petrol,Individual,Manual,Second Owner
1246,Maruti Esteem Vxi,Maruti,2006,85000,60000,Petrol,Individual,Manual,Second Owner
1247,Maruti Alto 800,Maruti,2015,280000,15000,Petrol,Individual,Manual,Second Owner
1248,Mahindra Xylo H4,Mahindra,2016,850000,40000,Diesel,Individual,Manual,First Owner
1249,Datsun GO Plus,Datsun,2017,375000,20000,Petrol,Individual,Manual,Second Owner
1250,Hyundai Elantra CRDi,Hyundai,2006,125000,120000,Diesel,Individual,Manual,Third Owner
1251,Chevrolet Beat Diesel,Chevrolet,2012,250000,110000,Diesel,Individual,Manual,First Owner
1252,Toyota Corolla Altis,Toyota,2014,715000,234000,Diesel,Individual,Manual,First Owner
1253,Hyundai i20 1.4,Hyundai,2011,220000,70000,Diesel,Individual,Manual,First Owner
1254,Tata Indica Vista,Tata,2010,110000,110000,Diesel,Individual,Manual,Second Owner
1255,Hyundai Verna XXi,Hyundai,2007,150000,84000,Petrol,Individual,Manual,Second Owner
1256,Nissan Sunny Diesel,Nissan,2012,300000,170000,Diesel,Individual,Manual,First Owner
1257,Datsun RediGO T,Datsun,2017,220000,40000,Petrol,Individual,Manual,First Owner
1258,Maruti Wagon R,Maruti,2006,75000,96000,Petrol,Individual,Manual,Second Owner
1259,Tata Indigo LS,Tata,2009,100000,20000,Diesel,Individual,Manual,First Owner
1260,Ford Figo Aspire,Ford,2016,380000,15000,Petrol,Individual,Manual,First Owner
1261,Hyundai Santro Xing,Hyundai,2007,100000,50000,Petrol,Individual,Manual,First Owner
1262,Volkswagen Passat 1.8,Volkswagen,2010,480000,80000,Petrol,Individual,Manual,Second Owner
1263,Toyota Etios GD,Toyota,2012,300000,124000,Diesel,Individual,Manual,First Owner
1264,Chevrolet Beat Diesel,Chevrolet,2013,190000,70000,Diesel,Individual,Manual,First Owner
1265,Ford Figo Diesel,Ford,2012,190000,130000,Diesel,Individual,Manual,Second Owner
1266,Ford EcoSport 1.5,Ford,2017,650000,19014,Petrol,Dealer,Manual,First Owner
1267,Toyota Corolla Executive,Toyota,2009,300000,23262,Petrol,Dealer,Manual,First Owner
1268,Ford Freestyle Titanium,Ford,2016,700000,29600,Diesel,Dealer,Manual,First Owner
1269,Hyundai i10 Sportz,Hyundai,2015,310000,35925,Petrol,Dealer,Manual,First Owner
1270,Maruti Ignis 1.2,Maruti,2018,500000,12000,Petrol,Individual,Manual,First Owner
1271,Toyota Etios V,Toyota,2013,415000,40771,Petrol,Dealer,Manual,First Owner
1272,Maruti Celerio VXI,Maruti,2015,395000,30500,Petrol,Dealer,Automatic,Second Owner
1273,Toyota Etios Liva,Toyota,2014,430000,42000,Petrol,Dealer,Manual,Second Owner
1274,Toyota Corolla H6,Toyota,2007,215000,55800,Petrol,Dealer,Manual,Second Owner
1275,Renault Duster RXL,Renault,2014,550000,66569,Diesel,Dealer,Manual,First Owner
1276,Volkswagen Polo 1.5,Volkswagen,2014,415000,81358,Diesel,Dealer,Manual,First Owner
1277,Volkswagen Polo 1.5,Volkswagen,2015,450000,82695,Diesel,Dealer,Manual,First Owner
1278,Ford Figo Diesel,Ford,2014,285000,68293,Diesel,Dealer,Manual,Second Owner
1279,Honda Jazz VX,Honda,2016,580000,32000,Petrol,Dealer,Automatic,First Owner
1280,Maruti Swift Dzire,Maruti,2014,300000,190621,Diesel,Dealer,Manual,First Owner
1281,Hyundai Verna CRDi,Hyundai,2018,1200000,60000,Diesel,Individual,Manual,First Owner
1282,Maruti 800 Std,Maruti,2006,78000,64700,Petrol,Individual,Manual,First Owner
1283,Maruti 800 AC,Maruti,2002,65000,100000,Petrol,Individual,Manual,Second Owner
1284,Tata Zest Quadrajet,Tata,2016,400000,88470,Diesel,Individual,Manual,First Owner
1285,Hyundai Verna 1.6,Hyundai,2016,850000,75000,Diesel,Individual,Manual,First Owner
1286,Volkswagen Vento Diesel,Volkswagen,2013,450000,120000,Diesel,Individual,Manual,Second Owner
1287,Mercedes-Benz E-Class E250,Mercedes-Benz,2012,2500000,35000,Diesel,Individual,Automatic,First Owner
1288,Toyota Etios 1.4,Toyota,2017,780000,70000,Diesel,Individual,Manual,First Owner
1289,Toyota Fortuner 2.8,Toyota,2017,3200000,57000,Diesel,Individual,Automatic,First Owner
1290,Maruti Alto 800,Maruti,2020,350000,1000,Petrol,Individual,Manual,First Owner
1291,Mahindra Quanto C6,Mahindra,2013,285000,120000,Diesel,Individual,Manual,Second Owner
1292,Volkswagen Vento 1.5,Volkswagen,2015,525000,98000,Diesel,Dealer,Manual,First Owner
1293,Maruti Ciaz ZDi,Maruti,2014,550000,90000,Diesel,Dealer,Manual,Second Owner
1294,Volkswagen Ameo 1.5,Volkswagen,2018,580000,70000,Diesel,Individual,Manual,First Owner
1295,Tata Nano CX,Tata,2013,75000,25000,Petrol,Individual,Manual,Third Owner
1296,Tata Manza Aura,Tata,2009,185000,60000,Diesel,Individual,Manual,Third Owner
1297,Maruti Omni E,Maruti,2007,110000,90000,Petrol,Individual,Manual,Fourth & Above Owner
1298,Honda City 1.5,Honda,2004,180000,200000,Petrol,Individual,Manual,Second Owner
1299,Volkswagen Polo Diesel,Volkswagen,2010,350000,110000,Diesel,Individual,Manual,Second Owner
1300,Chevrolet Optra 1.6,Chevrolet,2005,60000,126000,Petrol,Individual,Manual,Second Owner
1301,Mahindra TUV 300,Mahindra,2018,695000,70000,Diesel,Individual,Manual,First Owner
1302,Mahindra Alturas G4,Mahindra,2019,2700000,5000,Diesel,Individual,Automatic,First Owner
1303,Maruti Zen Estilo,Maruti,2007,135000,74183,Petrol,Individual,Manual,Second Owner
1304,Mahindra Bolero Power,Mahindra,2015,640000,70000,Diesel,Individual,Manual,Second Owner
1305,Maruti Alto 800,Maruti,2014,160000,90000,Petrol,Individual,Manual,First Owner
1306,Tata Indica LXI,Tata,2004,80000,46000,Petrol,Individual,Manual,Second Owner
1307,Maruti Swift Dzire,Maruti,2013,340000,110000,Diesel,Individual,Manual,Second Owner
1308,Maruti Ritz VDi,Maruti,2012,110000,80000,Diesel,Individual,Manual,Second Owner
1309,Tata Sumo Gold,Tata,2013,250000,90000,Diesel,Individual,Manual,Second Owner
1310,Toyota Innova Crysta,Toyota,2017,1300000,70000,Diesel,Individual,Manual,First Owner
1311,Mahindra Quanto C6,Mahindra,2014,250000,1,Diesel,Individual,Manual,Second Owner
1312,Toyota Innova 2.5,Toyota,2009,450000,192000,Diesel,Individual,Manual,First Owner
1313,Maruti Wagon R,Maruti,2013,240000,70000,Petrol,Individual,Manual,Fourth & Above Owner
1314,Mahindra Bolero DI,Mahindra,2007,225000,120000,Diesel,Individual,Manual,Second Owner
1315,Maruti Wagon R,Maruti,2015,275000,60000,Petrol,Individual,Manual,Second Owner
1316,Tata Sumo Victa,Tata,2012,320000,120000,Diesel,Individual,Manual,Second Owner
1317,Maruti Alto LX,Maruti,2008,75000,120000,Petrol,Individual,Manual,First Owner
1318,Tata Indica GLS,Tata,2007,85000,50000,Petrol,Individual,Manual,Second Owner
1319,Tata Indica Vista,Tata,2009,90000,120000,Diesel,Individual,Manual,First Owner
1320,Maruti Wagon R,Maruti,2007,85000,80000,Petrol,Individual,Manual,Second Owner
1321,Mahindra Scorpio M2DI,Mahindra,2008,350000,80000,Diesel,Individual,Manual,Second Owner
1322,Skoda Superb Elegance,Skoda,2009,355000,100000,Diesel,Individual,Automatic,Second Owner
1323,Maruti Swift VXI,Maruti,2020,619000,1500,Petrol,Individual,Manual,First Owner
1324,Jeep Compass 2.0,Jeep,2018,1700000,50000,Diesel,Individual,Manual,First Owner
1325,Tata Indica DL,Tata,2006,55000,100000,Diesel,Individual,Manual,Second Owner
1326,Ford Fiesta 1.6,Ford,2006,95000,83411,Petrol,Individual,Manual,First Owner
1327,Volkswagen Vento Diesel,Volkswagen,2011,300000,120000,Diesel,Individual,Manual,Second Owner
1328,Ford Fiesta 1.6,Ford,2006,81000,83411,Petrol,Individual,Manual,First Owner
1329,Skoda Superb Elegance,Skoda,2015,1000000,80000,Diesel,Individual,Automatic,Second Owner
1330,Maruti Ertiga VDI,Maruti,2019,925000,50000,Diesel,Individual,Manual,First Owner
1331,Mahindra Bolero Power,Mahindra,2015,450000,40000,Diesel,Individual,Manual,First Owner
1332,Mahindra Scorpio EX,Mahindra,2014,600000,13270,Diesel,Individual,Manual,First Owner
1333,Hyundai Santro Xing,Hyundai,2006,85000,100000,Petrol,Individual,Automatic,Third Owner
1334,Mahindra Thar DI,Mahindra,2016,700000,50000,Diesel,Individual,Manual,First Owner
1335,Hyundai Grand i10,Hyundai,2017,486000,26500,Petrol,Individual,Manual,First Owner
1336,Maruti Swift VDI,Maruti,2013,400000,90000,Diesel,Individual,Manual,First Owner
1337,Ford Fiesta 1.4,Ford,2008,120000,100000,Petrol,Individual,Manual,Third Owner
